date,price
28-Apr-14,4.8
29-Apr-14,4.88
30-Apr-14,4.9
1-May-14,4.89
5-May-14,4.79
9-May-14,4.52
12-May-14,4.55
13-May-14,4.54
14-May-14,4.51
16-May-14,4.46
19-May-14,4.51
20-May-14,4.53
21-May-14,4.57
22-May-14,4.5
23-May-14,4.38
27-May-14,4.51
30-May-14,4.52
2-Jun-14,4.64
3-Jun-14,4.75
4-Jun-14,4.71
6-Jun-14,4.73
9-Jun-14,4.7
10-Jun-14,4.61
16-Jun-14,4.75
17-Jun-14,4.82
18-Jun-14,4.83
23-Jun-14,4.55
24-Jun-14,4.56
26-Jun-14,4.62
27-Jun-14,4.42
1-Jul-14,4.49
7-Jul-14,4.34
10-Jul-14,4.2
14-Jul-14,4.21
15-Jul-14,4.16
16-Jul-14,4.19
17-Jul-14,4.09
18-Jul-14,3.98
21-Jul-14,3.93
23-Jul-14,3.93
24-Jul-14,3.86
29-Jul-14,3.8
30-Jul-14,3.77
31-Jul-14,3.76
4-Aug-14,3.87
5-Aug-14,3.95
6-Aug-14,3.96
7-Aug-14,4.01
8-Aug-14,3.94
11-Aug-14,4.01
12-Aug-14,3.99
13-Aug-14,3.91
14-Aug-14,3.89
15-Aug-14,3.84
19-Aug-14,3.95
20-Aug-14,3.94
21-Aug-14,3.96
22-Aug-14,3.96
27-Aug-14,4.02
8-Sep-14,3.94
9-Sep-14,4.08
10-Sep-14,4.04
11-Sep-14,3.95
15-Sep-14,4
16-Sep-14,3.94
17-Sep-14,4.09
18-Sep-14,4.04
19-Sep-14,3.91
22-Sep-14,3.96
23-Sep-14,3.97
24-Sep-14,3.9
26-Sep-14,3.94
30-Sep-14,4.08
2-Oct-14,3.97
3-Oct-14,3.96
6-Oct-14,3.93
7-Oct-14,3.93
9-Oct-14,3.96
10-Oct-14,3.92
14-Oct-14,3.89
15-Oct-14,3.78
16-Oct-14,3.76
17-Oct-14,3.78
20-Oct-14,3.77
21-Oct-14,3.78
22-Oct-14,3.77
23-Oct-14,3.64
24-Oct-14,3.48
27-Oct-14,3.62
28-Oct-14,3.7
29-Oct-14,3.73
30-Oct-14,4.11
31-Oct-14,3.88
3-Nov-14,3.8
4-Nov-14,3.68
5-Nov-14,4.01
6-Nov-14,4.13
7-Nov-14,4.14
10-Nov-14,4.4
11-Nov-14,4.64
12-Nov-14,4.44
13-Nov-14,4.4
14-Nov-14,4.32
17-Nov-14,4.76
18-Nov-14,4.8
19-Nov-14,5.05
20-Nov-14,4.98
21-Nov-14,4.76
24-Nov-14,4.55
26-Nov-14,4.58
1-Dec-14,4.13
2-Dec-14,3.93
3-Dec-14,3.7
4-Dec-14,3.67
5-Dec-14,3.58
10-Dec-14,3.72
11-Dec-14,3.62
12-Dec-14,3.59
15-Dec-14,3.81
16-Dec-14,3.75
17-Dec-14,3.85
18-Dec-14,3.86
19-Dec-14,3.52
29-Dec-14,3.51
30-Dec-14,3.3
2-Jan-15,3.2
5-Jan-15,3.37
6-Jan-15,3.42
7-Jan-15,3.32
8-Jan-15,3.17
9-Jan-15,3.05
13-Jan-15,2.96
14-Jan-15,3.14
15-Jan-15,3.34
16-Jan-15,3.06
20-Jan-15,2.88
21-Jan-15,2.92
22-Jan-15,2.89
27-Jan-15,2.92
29-Jan-15,2.75
30-Jan-15,2.78
2-Feb-15,2.72
3-Feb-15,2.8
4-Feb-15,2.85
5-Feb-15,2.67
9-Feb-15,2.65
10-Feb-15,2.88
11-Feb-15,3.17
12-Feb-15,3.02
13-Feb-15,3.1
17-Feb-15,3.97
18-Feb-15,10.73
19-Feb-15,6.63
20-Feb-15,7.96
23-Feb-15,5.24
24-Feb-15,5.42
25-Feb-15,4.71
26-Feb-15,3.82
27-Feb-15,2.84
2-Mar-15,3.01
3-Mar-15,4.16
5-Mar-15,3.5
6-Mar-15,2.82
9-Mar-15,2.72
10-Mar-15,2.7
13-Mar-15,2.68
16-Mar-15,2.66
17-Mar-15,2.78
18-Mar-15,2.76
19-Mar-15,2.82
20-Mar-15,2.81
24-Mar-15,2.83
27-Mar-15,2.62
30-Mar-15,2.62
1-Apr-15,2.68
2-Apr-15,2.54
6-Apr-15,2.69
7-Apr-15,2.66
9-Apr-15,2.6
10-Apr-15,2.48
13-Apr-15,2.47
14-Apr-15,2.48
15-Apr-15,2.54
16-Apr-15,2.55
17-Apr-15,2.59
20-Apr-15,2.57
24-Apr-15,2.58
27-Apr-15,2.49
28-Apr-15,2.56
29-Apr-15,2.54
30-Apr-15,2.56
4-May-15,2.68
5-May-15,2.73
7-May-15,2.73
8-May-15,2.76
11-May-15,2.87
18-May-15,3.06
21-May-15,2.96
26-May-15,2.78
27-May-15,2.76
29-May-15,2.58
1-Jun-15,2.59
2-Jun-15,2.57
3-Jun-15,2.57
4-Jun-15,2.54
8-Jun-15,2.61
9-Jun-15,2.78
10-Jun-15,2.84
11-Jun-15,2.82
12-Jun-15,2.67
15-Jun-15,2.81
16-Jun-15,2.86
17-Jun-15,2.88
18-Jun-15,2.81
19-Jun-15,2.73
22-Jun-15,2.72
23-Jun-15,2.8
24-Jun-15,2.75
25-Jun-15,2.78
26-Jun-15,2.72
30-Jun-15,2.78
1-Jul-15,2.78
2-Jul-15,2.74
6-Jul-15,2.72
7-Jul-15,2.69
9-Jul-15,2.67
10-Jul-15,2.72
13-Jul-15,2.88
14-Jul-15,2.96
15-Jul-15,2.89
16-Jul-15,2.89
17-Jul-15,2.89
20-Jul-15,2.84
21-Jul-15,2.92
22-Jul-15,2.93
24-Jul-15,2.86
27-Jul-15,2.86
31-Jul-15,2.8
5-Aug-15,2.94
7-Aug-15,2.89
13-Aug-15,3
14-Aug-15,2.88
18-Aug-15,2.84
19-Aug-15,2.85
20-Aug-15,2.8
21-Aug-15,2.76
25-Aug-15,2.79
26-Aug-15,2.79
27-Aug-15,2.76
28-Aug-15,2.76
31-Aug-15,2.77
1-Sep-15,2.82
2-Sep-15,2.78
10-Sep-15,2.76
15-Sep-15,2.78
21-Sep-15,2.71
22-Sep-15,2.82
23-Sep-15,2.65
24-Sep-15,2.64
25-Sep-15,2.59
28-Sep-15,2.66
29-Sep-15,2.63
30-Sep-15,2.56
1-Oct-15,2.46
5-Oct-15,2.34
6-Oct-15,2.36
7-Oct-15,2.44
8-Oct-15,2.43
12-Oct-15,2.5
13-Oct-15,2.47
14-Oct-15,2.49
15-Oct-15,2.55
16-Oct-15,2.41
19-Oct-15,2.43
20-Oct-15,2.43
21-Oct-15,2.34
22-Oct-15,2.36
26-Oct-15,2.29
27-Oct-15,2.35
28-Oct-15,2.44
29-Oct-15,2.34
30-Oct-15,2.05
2-Nov-15,1.96
3-Nov-15,1.95
4-Nov-15,2.18
5-Nov-15,2.24
6-Nov-15,2.15
10-Nov-15,2.17
11-Nov-15,2.15
12-Nov-15,2.1
13-Nov-15,2.08
16-Nov-15,2.14
17-Nov-15,2.07
18-Nov-15,2.21
19-Nov-15,2.27
20-Nov-15,2.32
24-Nov-15,2.14
25-Nov-15,2.06
30-Nov-15,2.24
1-Dec-15,2.23
2-Dec-15,2.19
3-Dec-15,2.08
4-Dec-15,2.11
7-Dec-15,2.04
9-Dec-15,2
10-Dec-15,1.92
11-Dec-15,1.75
17-Dec-15,2.06
23-Dec-15,1.73
29-Dec-15,2.54
4-Jan-16,2.46
5-Jan-16,2.37
6-Jan-16,2.42
7-Jan-16,2.4
8-Jan-16,2.61
11-Jan-16,2.58
13-Jan-16,2.32
14-Jan-16,2.29
15-Jan-16,2.34
19-Jan-16,2.29
20-Jan-16,2.2
21-Jan-16,2.22
25-Jan-16,2.18
26-Jan-16,2.22
27-Jan-16,2.23
28-Jan-16,2.09
29-Jan-16,2.29
1-Feb-16,2.21
4-Feb-16,2.05
8-Feb-16,2.24
9-Feb-16,2.21
10-Feb-16,2.17
11-Feb-16,2.17
18-Feb-16,1.98
19-Feb-16,1.92
26-Feb-16,1.75
1-Mar-16,1.73
3-Mar-16,1.68
4-Mar-16,1.68
7-Mar-16,1.71
8-Mar-16,1.76
9-Mar-16,1.85
10-Mar-16,1.83
11-Mar-16,1.87
14-Mar-16,1.87
15-Mar-16,1.99
16-Mar-16,1.94
17-Mar-16,1.98
18-Mar-16,2
21-Mar-16,2.02
22-Mar-16,1.94
24-Mar-16,1.85
28-Mar-16,1.85
29-Mar-16,1.89
30-Mar-16,2.01
31-Mar-16,1.99
1-Apr-16,1.98
5-Apr-16,1.97
6-Apr-16,1.92
7-Apr-16,1.97
11-Apr-16,1.91
12-Apr-16,1.9
13-Apr-16,1.92
14-Apr-16,1.88
18-Apr-16,1.73
19-Apr-16,1.92
21-Apr-16,1.94
22-Apr-16,1.9
25-Apr-16,1.96
26-Apr-16,1.92
27-Apr-16,1.93
