Date.Time,px_label,Total.Demand,Total.Supply,Weather,FX,V6,V7,V8,V9,V10,V11
11/5/2014,3.5,-10935,11113,2.9,0.88,4.194,78.68,3.49,3.47,3.54,3.28
11/6/2014,3.65,-11245,11134,8.9,0.88,4.404,77.91,3.5,3.44,3.53,3.47
11/7/2014,4.23,-11718,11448,3.1,0.88,4.412,78.65,3.65,3.57,3.77,3.44
11/10/2014,4.03,-12201,12142,-13.3,0.88,4.255,77.4,4.23,4.1,4.31,3.57
11/11/2014,3.94,-12078,12055,-15.2,0.88,4.247,77.94,4.03,4,4.09,4.1
11/12/2014,3.86,-12192,12436,-16.7,0.89,4.185,77.18,3.94,3.91,4.03,4
11/13/2014,3.67,-12329,12451,-15.6,0.88,3.977,74.21,3.86,3.82,3.88,3.91
11/14/2014,3.88,-12495,12275,-15.6,0.89,4.02,75.82,3.67,3.61,3.7,3.82
11/17/2014,3.89,-11939,12125,-4.1,0.88,4.341,75.64,3.88,3.85,3.95,3.61
11/18/2014,4.04,-12180,12422,-3.3,0.88,4.244,74.61,3.89,3.83,3.91,3.85
11/19/2014,3.95,-11906,11776,-9,0.88,4.371,74.58,4.04,4,4.08,3.83
11/20/2014,3.68,-11694,12096,-0.7,0.88,4.489,75.58,3.95,3.83,4,4
11/21/2014,3.58,-11227,12157,5.4,0.89,4.266,76.51,3.68,3.64,3.78,3.83
11/24/2014,3.74,-12146,12093,-0.5,0.89,4.151,75.78,3.58,3.55,3.68,3.64
11/25/2014,3.97,-12133,12138,-0.3,0.89,4.282,74.09,3.74,3.71,3.87,3.55
11/26/2014,3.65,-12058,12443,-3.7,0.89,4.355,73.69,3.97,3.95,4,3.71
12/1/2014,3.45,-12569,13063,-11.6,0.88,4.007,69,3.65,3.57,3.69,3.95
12/2/2014,3.34,-12450,12242,-8.2,0.88,3.874,66.88,3.45,3.42,3.47,3.57
12/3/2014,3.22,-12496,12465,-7.6,0.88,3.805,67.38,3.34,3.3,3.35,3.42
12/4/2014,3.13,-12332,12243,-5.5,0.88,3.649,66.81,3.22,2.99,3.23,3.3
12/5/2014,3.07,-11981,11827,-8.1,0.88,3.802,65.84,3.13,3.11,3.26,2.99
12/9/2014,3.11,-11778,11781,4.1,0.88,3.652,63.82,3.07,3.05,3.11,3.11
12/10/2014,3.11,-11583,11784,0,0.87,3.706,60.94,3.11,3.11,3.12,3.05
12/11/2014,3.15,-11699,11544,0,0.87,3.634,59.95,3.11,3.1,3.13,3.11
12/12/2014,3.27,-12027,11775,6.5,0.87,3.795,57.81,3.15,3.11,3.19,3.1
12/15/2014,3.15,-12269,12227,-7.1,0.86,3.719,55.91,3.27,3.19,3.29,3.11
12/16/2014,3.22,-12368,12199,-9.3,0.86,3.619,55.93,3.15,3.14,3.19,3.19
12/17/2014,3.28,-12150,12175,-4.1,0.86,3.702,56.47,3.22,3.19,3.24,3.14
12/18/2014,3.05,-12196,12391,-2.1,0.86,3.642,54.11,3.28,3.26,3.3,3.19
12/19/2014,2.61,-12001,12277,-0.1,0.86,3.464,56.52,3.05,2.93,3.09,3.26
12/22/2014,2.66,-11744,12461,-1,0.86,3.144,55.26,2.61,2.56,2.75,2.93
12/23/2014,2.66,-11425,12396,-0.4,0.86,3.171,57.12,2.66,2.62,2.75,2.56
12/24/2014,2.85,-11474,12456,-1.3,0.86,3.03,55.84,2.66,2.61,2.68,2.62
12/29/2014,2.87,-12359,12064,-17.6,0.86,3.189,53.61,2.85,2.84,2.9,2.61
12/30/2014,2.71,-12889,13118,-11,0.86,3.094,54.12,2.87,2.8,2.92,2.84
12/31/2014,2.7,-12687,12876,-3.2,0.86,2.889,53.27,2.71,2.64,2.73,2.8
1/2/2015,2.905,-12015,12443,-10.7,0.85,3.003,52.69,2.7,2.46,2.78,2.64
1/5/2015,2.55,-13214,12953,-17.1,0.85,2.882,50.04,2.905,2.8,3,2.46
1/6/2015,2.65,-13280,13892,-14.7,0.85,2.938,47.93,2.55,2.54,2.58,2.8
1/7/2015,2.6,-13223,13184,-4.6,0.84,2.871,48.65,2.65,2.63,2.67,2.54
1/8/2015,2.63,-12927,13149,-11.1,0.85,2.927,48.79,2.6,2.58,2.62,2.63
1/9/2015,2.51,-13244,13364,-13.1,0.84,2.946,48.36,2.63,2.6,2.66,2.58
1/12/2015,2.51,-12973,12349,-12.1,0.84,2.795,46.07,2.51,2.48,2.53,2.6
1/13/2015,2.69,-12578,12562,-3.6,0.84,2.943,45.89,2.51,2.48,2.53,2.48
1/14/2015,2.87,-12305,12289,4.5,0.84,3.233,48.48,2.69,2.68,2.76,2.48
1/15/2015,2.63,-12111,12342,3.7,0.84,3.158,46.25,2.87,2.76,2.92,2.68
1/16/2015,2.48,-11972,12202,3.7,0.83,3.127,48.69,2.63,2.6,2.66,2.76
1/20/2015,2.56,-11842,11673,-1,0.83,2.831,46.39,2.48,2.3,2.51,2.6
1/21/2015,2.57,-11972,11990,-0.6,0.81,2.974,47.78,2.56,2.55,2.59,2.3
1/22/2015,2.56,-12058,12124,7,0.81,2.835,46.31,2.57,2.47,2.59,2.55
1/23/2015,2.56,-11594,12171,7.1,0.81,2.986,45.59,2.56,2.53,2.6,2.47
1/26/2015,2.62,-11419,11930,6.3,0.81,2.881,45.15,2.56,2.54,2.6,2.53
1/27/2015,2.57,-11489,11514,6.8,0.81,2.981,46.23,2.62,2.61,2.68,2.54
1/28/2015,2.63,-11564,11521,1.7,0.8,2.866,44.45,2.57,2.56,2.59,2.61
1/29/2015,2.49,-11564,11757,1,0.79,2.719,44.53,2.63,2.53,2.65,2.56
1/30/2015,2.49,-12103,11723,-1,0.79,2.691,48.24,2.49,2.42,2.52,2.53
2/2/2015,2.47,-12446,12144,-14.2,0.8,2.68,49.57,2.49,2.45,2.5,2.42
2/3/2015,2.52,-12300,12623,-16.2,0.8,2.754,53.05,2.47,2.47,2.49,2.45
2/4/2015,2.43,-12228,12654,-6.1,0.8,2.662,48.45,2.52,2.51,2.55,2.47
2/5/2015,2.4,-12195,12276,-7,0.81,2.6,50.48,2.43,2.4,2.44,2.51
2/6/2015,2.44,-12143,12375,-13,0.8,2.579,51.69,2.4,2.35,2.55,2.4
2/9/2015,2.55,-11813,12311,-13.2,0.8,2.597,52.86,2.44,2.43,2.47,2.35
2/10/2015,2.72,-12063,12027,-10.1,0.8,2.677,50.02,2.55,2.53,2.58,2.43
2/11/2015,2.63,-12178,12035,-9.2,0.79,2.797,48.84,2.72,2.67,2.73,2.53
2/12/2015,2.49,-12121,12411,2.1,0.8,2.713,51.21,2.63,2.55,2.66,2.67
2/13/2015,2.6,-12142,12116,7.4,0.8,2.804,52.78,2.49,2.46,2.61,2.55
2/17/2015,2.63,-11977,12009,-3.5,0.81,2.759,53.53,2.6,2.58,2.62,2.46
2/18/2015,2.74,-12169,11885,2.7,0.8,2.831,52.14,2.63,2.6,2.65,2.58
2/19/2015,2.86,-12084,12227,4.5,0.8,2.834,51.16,2.74,2.68,2.76,2.6
2/20/2015,2.91,-11828,11992,-0.7,0.8,2.951,50.34,2.86,2.82,2.89,2.68
2/23/2015,2.78,-12691,12475,5.3,0.79,2.879,49.45,2.91,2.8,2.97,2.82
2/24/2015,2.78,-12435,12326,5.6,0.79,2.902,49.28,2.78,2.75,2.81,2.8
2/25/2015,2.69,-11988,12650,-6.1,0.81,2.894,50.99,2.78,2.73,2.79,2.75
2/26/2015,2.53,-12390,11904,-11.7,0.8,2.697,48.17,2.69,2.57,2.71,2.73
2/27/2015,2.55,-13018,12716,-10,0.8,2.734,49.76,2.53,2.5,2.58,2.57
3/2/2015,2.5,-12631,12771,-7.3,0.8,2.698,49.59,2.55,2.51,2.56,2.5
3/3/2015,2.56,-11889,12204,-13.3,0.8,2.712,50.52,2.5,2.49,2.52,2.51
3/4/2015,2.52,-12439,12162,-7.6,0.8,2.769,51.53,2.56,2.53,2.56,2.49
3/5/2015,2.48,-12744,13067,2.4,0.8,2.841,50.76,2.52,2.5,2.56,2.53
3/6/2015,2.42,-12350,12086,6.2,0.79,2.839,49.61,2.48,2.47,2.63,2.5
3/9/2015,2.51,-11986,12132,8.5,0.79,2.678,50,2.42,2.42,2.45,2.47
3/10/2015,2.61,-11827,11972,5.2,0.79,2.732,48.29,2.51,2.47,2.53,2.42
3/11/2015,2.61,-12004,11516,8,0.78,2.824,48.17,2.61,2.52,2.65,2.47
3/12/2015,2.49,-11479,11489,8.9,0.79,2.734,47.05,2.61,2.54,2.64,2.52
3/13/2015,2.56,-11508,11777,11.2,0.78,2.727,44.84,2.49,2.46,2.63,2.54
3/16/2015,2.71,-11626,11664,-1.7,0.78,2.716,43.88,2.56,2.54,2.58,2.46
3/17/2015,2.73,-11866,11667,-2.4,0.78,2.855,43.46,2.71,2.67,2.74,2.54
3/18/2015,2.73,-11479,11224,4,0.78,2.92,44.66,2.73,2.71,2.74,2.67
3/19/2015,2.74,-11176,11541,6.8,0.78,2.813,43.96,2.73,2.71,2.76,2.71
3/20/2015,2.59,-10969,11173,-1.1,0.79,2.786,45.72,2.74,2.7,2.77,2.71
3/23/2015,2.72,-11446,11548,-4.5,0.8,2.733,47.45,2.59,2.57,2.62,2.7
3/24/2015,2.69,-11437,11783,-1.2,0.8,2.786,47.51,2.72,2.7,2.73,2.57
3/25/2015,2.6,-10292,11491,2.9,0.8,2.723,49.21,2.69,2.67,2.73,2.7
3/26/2015,2.51,-10608,11358,9.2,0.8,2.672,51.43,2.6,2.55,2.62,2.67
3/27/2015,2.56,-11184,11551,14.5,0.79,2.59,48.87,2.51,2.48,2.56,2.55
3/30/2015,2.55,-11016,10907,8.7,0.79,2.644,48.68,2.56,2.54,2.58,2.48
3/31/2015,2.47,-10838,10851,10,0.79,2.64,47.6,2.55,2.54,2.56,2.54
4/1/2015,2.5,-10799,10857,3.9,0.79,2.605,50.09,2.47,2.45,2.5,2.54
4/2/2015,2.53,-10758,10886,1.9,0.79,2.713,49.14,2.5,2.44,2.66,2.45
4/6/2015,2.48,-11683,11481,-2.8,0.8,2.65,52.14,2.53,2.45,2.65,2.44
4/7/2015,2.44,-11341,11445,-0.2,0.8,2.68,53.98,2.48,2.48,2.51,2.45
4/8/2015,2.44,-11405,11403,3.3,0.8,2.619,50.42,2.44,2.08,2.45,2.48
4/9/2015,2.4,-11223,11513,7.3,0.79,2.528,50.79,2.44,2.05,2.45,2.08
4/10/2015,2.42,-11355,11560,7.8,0.79,2.511,51.64,2.4,2.02,2.41,2.05
4/13/2015,2.43,-11568,11633,4.2,0.79,2.511,51.91,2.42,2.36,2.44,2.02
4/14/2015,2.43,-11651,11544,6,0.8,2.53,53.29,2.43,2.4,2.44,2.36
4/15/2015,2.38,-11205,11334,5.3,0.81,2.61,56.39,2.43,2.42,2.45,2.4
4/16/2015,2.4,-11181,11475,10.5,0.82,2.684,56.71,2.38,2.35,2.39,2.42
4/17/2015,2.36,-11536,11408,11,0.82,2.634,55.74,2.4,2.4,2.6,2.35
4/20/2015,2.41,-11581,11727,9.2,0.82,2.536,56.38,2.36,2.34,2.37,2.4
4/21/2015,2.44,-11516,11656,13.8,0.81,2.575,55.26,2.41,2.4,2.43,2.34
4/22/2015,2.42,-11260,11521,12.5,0.82,2.606,56.16,2.44,2.42,2.46,2.4
4/23/2015,2.41,-11294,11532,6,0.82,2.531,57.74,2.42,2.4,2.43,2.42
4/24/2015,2.34,-11508,11470,6,0.82,2.531,57.15,2.41,2.4,2.43,2.4
4/27/2015,2.37,-11468,11438,10.9,0.83,2.49,56.99,2.34,2.32,2.36,2.4
4/28/2015,2.42,-11200,11403,15.9,0.83,2.517,57.06,2.37,2.36,2.4,2.32
4/29/2015,2.42,-11229,11229,9.5,0.84,2.606,58.58,2.42,2.42,2.43,2.36
4/30/2015,2.57,-10882,11061,8.1,0.83,2.751,59.63,2.42,2.41,2.53,2.42
5/1/2015,2.62,-11085,11100,10.1,0.82,2.776,59.15,2.57,2.56,2.59,2.41
5/4/2015,2.64,-11465,11334,10.3,0.83,2.821,58.93,2.62,2.61,2.64,2.56
5/5/2015,2.6,-11326,11417,10.7,0.83,2.78,60.4,2.64,2.61,2.65,2.61
5/6/2015,2.62,-10842,10822,4.8,0.83,2.776,60.93,2.6,2.6,2.62,2.61
5/7/2015,2.7,-10605,10664,5.5,0.82,2.734,58.94,2.62,2.59,2.63,2.6
5/8/2015,2.7,-10954,10627,5.9,0.83,2.88,59.39,2.7,2.67,2.71,2.59
5/11/2015,2.73,-11000,11175,6.1,0.83,2.802,59.25,2.7,2.68,2.71,2.67
5/12/2015,2.7,-11005,11055,5.6,0.83,2.897,60.75,2.73,2.71,2.73,2.68
5/13/2015,2.72,-10757,10634,5.5,0.84,2.935,60.5,2.7,2.38,2.75,2.71
5/14/2015,2.81,-10423,10570,6.6,0.83,3.008,59.88,2.72,2.72,2.8,2.38
5/15/2015,2.87,-10708,10662,9.2,0.83,3.016,59.69,2.81,2.76,2.82,2.72
5/18/2015,2.93,-11253,11436,8.1,0.83,3.01,59.43,2.87,2.5,2.89,2.76
5/19/2015,2.83,-11225,11395,8.8,0.82,2.948,57.26,2.93,2.79,2.94,2.5
5/20/2015,2.8,-11160,11314,11.3,0.82,2.915,58.98,2.83,2.8,2.86,2.79
5/21/2015,2.72,-11165,11104,13.3,0.82,2.949,60.72,2.8,2.79,2.82,2.8
5/22/2015,2.65,-10422,10326,12.8,0.81,2.887,59.72,2.72,2.71,2.74,2.79
5/26/2015,2.63,-10237,10346,16.3,0.8,2.822,58.03,2.65,2.63,2.66,2.71
5/27/2015,2.55,-10263,10241,16.7,0.8,2.815,57.51,2.63,2.6,2.64,2.63
5/28/2015,2.43,-10195,10321,11.4,0.8,2.706,57.68,2.55,2.49,2.57,2.6
5/29/2015,2.36,-10345,10381,10,0.8,2.642,60.3,2.43,2.42,2.44,2.49
6/2/2015,2.35,-10395,10619,11.2,0.81,2.698,61.26,2.36,2.34,2.38,2.42
6/4/2015,2.28,-10471,10444,13.4,0.8,2.626,58,2.35,2.33,2.39,2.34
6/5/2015,2.52,-10480,10420,13.8,0.8,2.59,59.13,2.28,2.15,2.3,2.33
6/9/2015,2.62,-10934,11048,17.2,0.81,2.846,60.14,2.52,2.47,2.55,2.15
