date,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All
1/7/2014,4276785,2411676,998142,325136,1793955,254335,307823,61243,388432,44075,233304,499751,4231228,4229162,45557,47623,157186,43957,61095,-5015,60884,-1889,-8199,5389,6888,26458,-91389,83709,145909,124687,11277,32499
1/14/2014,4119599,2367719,937047,330151,1733071,256224,316022,55854,381544,17617,324693,416042,4085319,4104475,34280,15124,216266,113233,-18559,24374,86255,-23072,-52964,17684,129634,-17438,-19496,42281,216048,214727,218,1539
1/21/2014,3903333,2254486,955606,305777,1646816,279296,368986,38170,251910,35055,344189,373761,3869271,3889748,34062,13585,46077,47971,1318,3908,57024,-15399,13501,-24900,8104,-3537,25970,-9492,45056,42625,1021,3452
1/28/2014,3857256,2206515,954288,301869,1589792,294695,355485,63070,243806,38592,318219,383253,3824215,3847123,33041,10133,31304,76003,1427,906,84277,-33193,28866,-5491,-11044,-2422,25962,-26631,32485,35307,-1181,-4003
2/4/2014,3825952,2130512,952861,300963,1505515,327888,326619,68561,254850,41014,292257,409884,3791730,3811816,34222,14136,-234993,-161387,-53165,-36120,-63166,-30353,38997,-6272,-37622,19667,-18165,-30577,-237395,-239320,2402,4327
2/11/2014,4060945,2291899,1006026,337083,1568681,358241,287622,74833,292472,21347,310422,440461,4029125,4051136,31820,9809,71279,29683,-3899,6169,4985,2664,1899,10432,13177,-1267,22443,21728,74053,71530,-2774,-251
2/18/2014,3989666,2262216,1009925,330914,1563696,355577,285723,64401,279295,22614,287979,418733,3955072,3979606,34594,10060,76296,64769,5865,-11849,55243,7690,-17717,-7540,9869,1312,-16174,21891,75965,76844,331,-548
2/25/2014,3913370,2197447,1004060,342763,1508453,347887,303440,71941,269426,21302,304153,396842,3879107,3902762,34263,10608,86748,23794,10911,-18111,17593,11736,17092,-6764,15143,2019,2781,34438,86111,85838,637,910
3/4/2014,3826622,2173653,993149,360874,1490860,336151,286348,78705,254283,19283,301372,362404,3792996,3816924,33626,9698,-192830,-145974,-62364,-5551,-45142,5851,25447,-3564,-42466,-11938,-27190,-20037,-194668,-194912,1838,2082
3/11/2014,4019452,2319627,1055513,366425,1536002,330300,260901,82269,296749,31221,328562,382441,3987664,4011836,31788,7616,-1907,-2122,-92274,11991,53086,-6472,-7183,9616,14387,-1991,32010,-7640,970,2713,-2877,-4620
3/18/2014,4021359,2321749,1147787,354434,1482916,336772,268084,72653,282362,33212,296552,390081,3986694,4009123,34665,12236,43868,38112,-632,-10141,29885,3228,-2343,-743,-5559,2564,-172,17673,43534,43680,334,188
