date,price,price_open,ytd_price,lt2_price,lt3_price,ytdH,ytd_L,WER1CN11.FORE.Index,WER1CNAL.FORE.Index,WER1CNBC.FORE.Index,WER1CNON.FORE.Index,WER1US00.FORE.Index,WER1USRM.FORE.Index,WER1USCP.FORE.Index,WER1USMN.FORE.Index,WER1USEC.FORE.Index,UNG.US.Equity,XOA1.Comdty,CL1.Comdty,DOENUSCH.Index,DOENUST1.Index,NAGSTOTL.Index,NAGSTOTC.Index,CANEESTF.Index,SPGSCI.Index,SPCI.Index,DXY.Curncy,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All
4/30/2014,4.815,4.838,4.831,4.795,4.647,4.848,4.754,2.73,6.88,9.71,3.99,53.79,45.83,71.13,46.18,67.68,26.83,4.839,101.28,82,981,59.87,62182,32.416,658.8395,2419.66,79.808,3979320,2150872,1120008,347220,1447773,335194,278126,57686,281360,59911,230808,492102,3944785,3964931,34535,14389,32186,7477,11349,7068,-9145,709,3015,8141,-232,1158,8798,12796,31991,32416,195,-230
5/1/2014,4.719,4.797,4.815,4.831,4.795,4.852,4.751,4.49,10.3,13.05,5.33,53.82,44.9,71.24,47.88,59.34,26.55,4.835,99.74,82,981,59.87,62871,32.416,652.5111,2433.65,79.474,3979320,2150872,1120008,347220,1447773,335194,278126,57686,281360,59911,230808,492102,3944785,3964931,34535,14389,32186,7477,11349,7068,-9145,709,3015,8141,-232,1158,8798,12796,31991,32416,195,-230
5/2/2014,4.674,4.73,4.719,4.815,4.831,4.823,4.707,5.19,10.69,14.97,5.85,54.73,44.81,71.36,51.82,55.91,26.11,4.782,99.42,82,981,61.89,58323,32.416,648.6089,2439.17,79.527,3979320,2150872,1120008,347220,1447773,335194,278126,57686,281360,59911,230808,492102,3944785,3964931,34535,14389,32186,7477,11349,7068,-9145,709,3015,8141,-232,1158,8798,12796,31991,32416,195,-230
5/5/2014,4.688,4.775,4.674,4.719,4.815,4.765,4.672,2.28,1.1,7.82,3.85,58.29,50.95,73.63,62.34,67.58,25.99,4.735,99.76,74,1055,61.89,54412,35.685,650.9405,2444.31,79.516,3979320,2150872,1120008,347220,1447773,335194,278126,57686,281360,59911,230808,492102,3944785,3964931,34535,14389,32186,7477,11349,7068,-9145,709,3015,8141,-232,1158,8798,12796,31991,32416,195,-230
5/6/2014,4.799,4.702,4.688,4.674,4.719,4.775,4.651,2.65,2.09,8.26,4.14,58.24,52.19,73.59,61.28,69.51,26.03,4.746,99.48,74,1055,61.89,57171,35.685,648.9415,2444.4,79.486,3979320,2150872,1120008,347220,1447773,335194,278126,57686,281360,59911,230808,492102,3944785,3964931,34535,14389,32186,7477,11349,7068,-9145,709,3015,8141,-232,1158,8798,12796,31991,32416,195,-230
5/7/2014,4.74,4.786,4.799,4.688,4.674,4.806,4.692,2.81,-0.19,8.8,5.04,58.73,55.27,74.12,57,69.4,26.63,4.849,99.5,74,1055,61.89,57953,35.685,648.9934,2415.52,79.093,3947134,2143395,1108659,340152,1456918,334485,275111,49545,281592,58753,222010,479306,3912794,3932515,34340,14619,-246541,-192249,-44006,22148,-45696,-20662,-858,5854,-44171,1568,-88345,-11757,-245981,-248783,-560,2242
5/8/2014,4.572,4.75,4.74,4.799,4.688,4.827,4.706,3.82,1.79,10.13,6.72,60.05,59.7,74.05,51.19,71.04,26.3,4.785,100.77,74,1055,61.89,57566,35.685,651.4311,2418.27,79.202,3947134,2143395,1108659,340152,1456918,334485,275111,49545,281592,58753,222010,479306,3912794,3932515,34340,14619,-246541,-192249,-44006,22148,-45696,-20662,-858,5854,-44171,1568,-88345,-11757,-245981,-248783,-560,2242
5/9/2014,4.531,4.586,4.572,4.74,4.799,4.754,4.56,5.19,6.37,10.34,9.24,61.56,61.55,73.93,50.01,73.33,25.37,4.614,100.26,74,1055,59.13,57019,35.685,649.5789,2398.11,79.361,3947134,2143395,1108659,340152,1456918,334485,275111,49545,281592,58753,222010,479306,3912794,3932515,34340,14619,-246541,-192249,-44006,22148,-45696,-20662,-858,5854,-44171,1568,-88345,-11757,-245981,-248783,-560,2242
5/12/2014,4.434,4.535,4.531,4.572,4.74,4.598,4.498,5.64,4.21,11.44,9.57,62.54,61.27,73.9,48.7,73.59,25.11,4.571,99.99,105,1160,59.13,53491,40.02,647.2982,2409.45,79.903,3947134,2143395,1108659,340152,1456918,334485,275111,49545,281592,58753,222010,479306,3912794,3932515,34340,14619,-246541,-192249,-44006,22148,-45696,-20662,-858,5854,-44171,1568,-88345,-11757,-245981,-248783,-560,2242
5/13/2014,4.358,4.407,4.434,4.531,4.572,4.549,4.396,5.77,7.11,12.14,9.67,62.01,57.69,72.86,46.41,74.87,24.51,4.479,100.59,105,1160,59.13,55802,40.02,648.9678,2452.17,79.901,3947134,2143395,1108659,340152,1456918,334485,275111,49545,281592,58753,222010,479306,3912794,3932515,34340,14619,-246541,-192249,-44006,22148,-45696,-20662,-858,5854,-44171,1568,-88345,-11757,-245981,-248783,-560,2242
5/14/2014,4.367,4.372,4.358,4.434,4.531,4.469,4.347,6.89,9,13.67,11.56,59.4,51.7,72.51,47.96,72.74,24.21,4.405,101.7,105,1160,59.13,58334,40.02,652.0264,2437.36,80.143,4193675,2335644,1152665,318004,1502614,355147,275969,43691,325763,57185,310355,491063,4158775,4181298,34900,12377,-6271,41735,-27288,3113,-4082,6884,-44085,-27170,11272,3532,61134,-27470,-5019,-6720,-1252,449
5/15/2014,4.469,4.384,4.367,4.358,4.434,4.403,4.339,7.67,11.67,15.15,9.89,58.52,49.47,72.25,51.9,64.13,24.28,4.418,102.37,105,1160,59.13,59600,40.02,655.2289,2413.14,80.073,4193675,2335644,1152665,318004,1502614,355147,275969,43691,325763,57185,310355,491063,4158775,4181298,34900,12377,-6271,41735,-27288,3113,-4082,6884,-44085,-27170,11272,3532,61134,-27470,-5019,-6720,-1252,449
5/16/2014,4.413,4.449,4.469,4.367,4.358,4.509,4.289,8.51,9.38,15.45,8.68,57.77,44.52,73.83,57.85,55.64,24.63,4.523,101.5,105,1160,58.36,58352,40.02,652.0441,2395.24,80.003,4193675,2335644,1152665,318004,1502614,355147,275969,43691,325763,57185,310355,491063,4158775,4181298,34900,12377,-6271,41735,-27288,3113,-4082,6884,-44085,-27170,11272,3532,61134,-27470,-5019,-6720,-1252,449
5/19/2014,4.47,4.414,4.413,4.469,4.367,4.458,4.407,8.17,10.76,11.59,7.72,59.19,55.61,74.25,64.86,62.8,24.44,4.461,102.02,107,1267,58.36,53519,48.575,652.8556,2405.81,80.043,4193675,2335644,1152665,318004,1502614,355147,275969,43691,325763,57185,310355,491063,4158775,4181298,34900,12377,-6271,41735,-27288,3113,-4082,6884,-44085,-27170,11272,3532,61134,-27470,-5019,-6720,-1252,449
5/20/2014,4.552,4.474,4.47,4.413,4.469,4.523,4.39,8.08,10.49,12.12,10.04,60.86,59.53,73.74,62.75,66.73,24.76,4.512,102.61,107,1267,58.36,54388,48.575,653.803,2425.74,79.993,4193675,2335644,1152665,318004,1502614,355147,275969,43691,325763,57185,310355,491063,4158775,4181298,34900,12377,-6271,41735,-27288,3113,-4082,6884,-44085,-27170,11272,3532,61134,-27470,-5019,-6720,-1252,449
5/21/2014,4.473,4.536,4.552,4.47,4.413,4.57,4.43,8.35,11.59,12.91,10.1,63.72,64.52,73.86,61.66,71.95,25.14,4.594,102.44,107,1267,58.36,54194,48.575,654.0387,2397.57,80.041,4199946,2293909,1179953,314891,1506696,348263,320054,70861,314491,53653,249221,518533,4163794,4188018,36152,11928,81818,100538,40648,10170,21456,-7398,-5489,-10433,-22770,-15554,42613,19337,78834,83453,2984,-1635
5/22/2014,4.359,4.489,4.473,4.552,4.47,4.575,4.466,9.35,13.96,12.92,11.33,64.39,62.84,73.74,61.48,73.82,24.78,4.515,104.07,107,1267,58.36,55244,48.575,658.3492,2411.52,80.095,4199946,2293909,1179953,314891,1506696,348263,320054,70861,314491,53653,249221,518533,4163794,4188018,36152,11928,81818,100538,40648,10170,21456,-7398,-5489,-10433,-22770,-15554,42613,19337,78834,83453,2984,-1635
5/23/2014,4.405,4.374,4.359,4.473,4.552,4.515,4.349,10.02,15.34,13.81,11.37,63.97,60,75.2,62.6,73.92,24.18,4.41,103.74,107,1267,56.88,57627,48.575,657.1738,2428.05,80.254,4199946,2293909,1179953,314891,1506696,348263,320054,70861,314491,53653,249221,518533,4163794,4188018,36152,11928,81818,100538,40648,10170,21456,-7398,-5489,-10433,-22770,-15554,42613,19337,78834,83453,2984,-1635
5/27/2014,4.505,4.406,4.405,4.359,4.473,4.411,4.358,10.59,12.09,11.56,16.35,68.19,69.63,73.78,65.31,75.88,24.36,4.463,104.35,113,1380,56.88,53476,56.46,658.406,2447.73,80.393,4199946,2293909,1179953,314891,1506696,348263,320054,70861,314491,53653,249221,518533,4163794,4188018,36152,11928,81818,100538,40648,10170,21456,-7398,-5489,-10433,-22770,-15554,42613,19337,78834,83453,2984,-1635
5/28/2014,4.619,4.496,4.505,4.405,4.359,4.512,4.36,10.11,10.48,12.02,15.05,67.91,68.22,74.75,68.35,75.7,24.83,4.567,104.11,113,1380,56.88,56248,56.46,655.4422,2471.34,80.352,4118128,2193371,1139305,304721,1485240,355661,325543,81294,337261,69207,206608,499196,4084960,4104565,33168,13563,140352,53017,27751,1345,45755,623,4154,-2221,12827,-6169,-20194,77030,142827,141571,-2475,-1219
5/29/2014,4.559,4.608,4.619,4.505,4.405,4.635,4.482,10.2,9.76,11.39,13.28,66.27,66.17,75.06,70.35,74.09,25.47,4.654,102.72,113,1380,56.88,58164,56.46,652.8376,2463.74,80.571,4118128,2193371,1139305,304721,1485240,355661,325543,81294,337261,69207,206608,499196,4084960,4104565,33168,13563,140352,53017,27751,1345,45755,623,4154,-2221,12827,-6169,-20194,77030,142827,141571,-2475,-1219
5/30/2014,4.542,4.582,4.559,4.619,4.505,4.665,4.529,10.69,9.4,11.47,14.07,65.91,67.3,74.9,66.84,73.49,25.3,4.654,103.58,113,1380,56.25,56722,56.46,654.2635,2474.68,80.494,4118128,2193371,1139305,304721,1485240,355661,325543,81294,337261,69207,206608,499196,4084960,4104565,33168,13563,140352,53017,27751,1345,45755,623,4154,-2221,12827,-6169,-20194,77030,142827,141571,-2475,-1219
